label,Index,nr_pix,rows_with_1,cols_with_1,rows_with_2,cols_with_2,rows_with_3p,cols_with_3p,height,width,aspect_ratio,maxrow,maxcol,connected_areas,eyes,hollowness,custom
cherry,05,82,2,0,9,7,14,14,24,20,0.8333333333333334,10,9,1,2,3.3902439024390243,0.0
cherry,06,77,1,0,14,6,11,15,25,20,0.8,8,8,1,1,3.8051948051948052,0.012987012987012988
cherry,07,81,3,0,11,12,13,12,26,23,0.8846153846153846,9,10,1,1,4.345679012345679,0.012345679012345678
cherry,08,84,1,1,6,10,18,12,24,22,0.9166666666666666,9,9,1,1,3.5952380952380953,0.011904761904761904
cherry,09,71,4,0,14,11,8,10,25,20,0.8,9,9,1,1,4.197183098591549,0.014084507042253521
cherry,10,73,3,0,8,9,14,11,24,19,0.7916666666666666,9,9,1,1,3.328767123287671,0.0136986301369863
cherry,11,76,2,0,11,5,11,16,23,20,0.8695652173913043,10,10,1,1,3.3552631578947367,0.0
cherry,12,83,3,0,6,8,16,16,24,23,0.9583333333333334,9,6,1,1,3.6867469879518073,0.0
cherry,13,82,0,0,12,11,14,12,25,22,0.88,7,9,1,1,4.0,0.024390243902439025
cherry,14,75,2,1,9,10,13,10,23,20,0.8695652173913043,10,12,1,1,3.48,0.0
envelope,01,125,0,0,9,0,15,27,23,26,1.1304347826086956,19,14,1,2,3.456,0.0
envelope,02,115,0,0,7,1,13,26,19,26,1.368421052631579,21,12,1,2,3.1652173913043478,0.0
envelope,03,115,0,0,6,1,13,26,18,26,1.4444444444444444,25,16,1,2,2.9391304347826086,0.0
envelope,04,125,0,1,7,0,13,29,19,29,1.5263157894736843,27,13,1,3,3.088,0.0
envelope,05,118,0,0,10,1,10,28,19,28,1.4736842105263157,26,10,1,2,3.211864406779661,0.0
envelope,06,133,0,0,9,1,14,31,22,31,1.4090909090909092,21,21,1,2,3.8045112781954886,0.0
envelope,07,128,0,0,8,0,13,31,20,30,1.5,23,12,1,2,3.4765625,0.0
envelope,08,133,0,0,10,0,12,30,21,29,1.380952380952381,29,12,1,2,3.18796992481203,0.0
envelope,09,131,0,0,10,2,13,29,22,30,1.3636363636363635,24,21,1,2,3.5343511450381677,0.0
envelope,10,135,0,0,9,1,12,31,20,31,1.55,32,20,1,2,3.740740740740741,0.0
envelope,11,125,1,0,11,3,10,28,21,30,1.4285714285714286,31,20,1,2,3.672,0.0
envelope,12,132,0,0,8,0,14,32,21,31,1.4761904761904763,29,15,1,2,3.462121212121212,0.0
envelope,13,129,0,0,8,0,13,31,20,30,1.5,29,17,1,2,3.6666666666666665,0.0
envelope,14,153,0,0,11,1,15,32,25,32,1.28,19,24,1,2,4.045751633986928,0.0
golfclub,01,123,0,0,7,6,27,26,33,31,0.9393939393939394,11,10,3,1,1.1544715447154472,0.016260162601626018
golfclub,02,122,0,0,8,2,25,28,32,29,0.90625,12,14,3,1,1.098360655737705,0.02459016393442623
golfclub,03,130,1,1,4,3,26,27,30,30,1.0,10,9,3,1,1.0076923076923077,0.023076923076923078
golfclub,04,115,0,0,6,1,25,27,30,27,0.9,9,9,3,1,0.9217391304347826,0.02608695652173913
golfclub,05,125,0,0,10,3,22,27,31,29,0.9354838709677419,11,11,3,1,1.208,0.032
golfclub,06,111,1,0,13,4,19,24,32,27,0.84375,10,10,3,1,1.2342342342342343,0.018018018018018018
golfclub,07,115,0,1,11,1,21,28,31,29,0.9354838709677419,10,8,3,1,0.991304347826087,0.034782608695652174
golfclub,08,116,0,1,14,2,20,26,33,28,0.8484848484848485,9,9,3,1,1.0862068965517242,0.017241379310344827
golfclub,09,128,0,0,7,1,28,27,34,27,0.7941176470588235,10,9,3,1,1.296875,0.0234375
golfclub,10,119,1,0,9,2,22,27,31,28,0.9032258064516129,13,8,3,1,0.957983193277311,0.03361344537815126
golfclub,11,103,2,0,12,7,18,21,31,27,0.8709677419354839,8,9,2,1,1.0776699029126213,0.019417475728155338
golfclub,12,101,4,1,14,6,14,23,31,29,0.9354838709677419,8,6,3,1,1.2673267326732673,0.039603960396039604
golfclub,13,100,4,0,13,9,15,19,31,27,0.8709677419354839,9,10,3,1,1.4,0.03
golfclub,14,97,0,0,12,8,15,22,26,29,1.1153846153846154,10,6,2,1,0.979381443298969,0.010309278350515464
lemon,01,97,0,0,2,8,17,20,18,27,1.5,9,7,2,1,2.3195876288659796,0.0
lemon,02,109,0,0,1,5,20,26,20,30,1.5,9,6,2,1,2.5596330275229358,0.0
lemon,03,104,0,0,0,6,20,25,19,30,1.5789473684210527,10,5,2,1,2.6153846153846154,0.009615384615384616
lemon,04,104,0,0,1,6,19,26,19,31,1.631578947368421,11,5,2,1,2.6346153846153846,0.0
lemon,05,85,0,0,1,5,16,21,16,25,1.5625,11,5,2,1,2.4823529411764707,0.011764705882352941
lemon,06,90,0,0,2,7,16,21,17,27,1.588235294117647,10,6,2,1,2.477777777777778,0.0
lemon,07,99,0,0,0,9,18,23,17,31,1.8235294117647058,10,5,2,1,2.696969696969697,0.010101010101010102
lemon,08,97,0,0,1,2,18,26,18,27,1.5,9,5,2,1,2.4948453608247423,0.010309278350515464
lemon,09,101,0,0,2,5,18,25,19,29,1.5263157894736843,9,5,2,1,2.6534653465346536,0.009900990099009901
lemon,10,103,0,0,2,1,20,28,21,28,1.3333333333333333,8,5,2,1,2.766990291262136,0.0
lemon,11,96,0,0,1,4,17,24,17,27,1.588235294117647,10,5,2,1,2.3958333333333335,0.010416666666666666
lemon,12,92,0,0,2,3,17,24,18,26,1.4444444444444444,11,5,2,1,2.467391304347826,0.0
lemon,13,98,0,0,1,2,18,26,18,27,1.5,10,6,2,1,2.5306122448979593,0.01020408163265306
lemon,14,92,0,0,0,5,17,22,16,26,1.625,9,7,2,1,2.25,0.010869565217391304
pencil,01,102,0,0,2,3,21,21,22,23,1.0454545454545454,7,8,1,2,0.8333333333333334,0.0
pencil,02,115,0,1,6,2,21,22,26,24,0.9230769230769231,9,10,1,2,1.2260869565217392,0.0
pencil,03,131,0,1,7,0,22,25,28,25,0.8928571428571429,10,11,1,2,1.2290076335877862,0.0
pencil,04,119,1,0,10,2,20,21,30,22,0.7333333333333333,9,10,1,2,1.3277310924369747,0.0
pencil,05,115,0,0,10,5,20,21,29,25,0.8620689655172413,9,11,1,2,1.0695652173913044,0.0
pencil,06,111,2,0,6,5,20,21,27,25,0.9259259259259259,9,9,1,2,1.1981981981981982,0.0
pencil,07,112,0,0,2,7,23,19,24,25,1.0416666666666667,9,10,1,2,1.3303571428571428,0.0
pencil,08,124,1,1,7,1,22,24,29,25,0.8620689655172413,10,10,1,2,1.217741935483871,0.0
pencil,09,113,0,1,3,9,23,19,25,28,1.12,9,9,1,2,1.2920353982300885,0.0
pencil,10,102,1,0,2,2,23,21,25,22,0.88,8,10,1,2,1.2549019607843137,0.0
pencil,11,118,2,1,9,8,20,18,30,26,0.8666666666666667,10,12,1,2,1.61864406779661,0.0
pencil,12,110,1,0,9,1,21,21,30,21,0.7,8,9,1,2,1.1727272727272726,0.0
pencil,13,108,0,1,11,3,17,22,27,25,0.9259259259259259,9,9,1,2,1.6296296296296295,0.0
pencil,14,129,0,0,16,2,20,22,35,23,0.6571428571428571,9,12,1,2,1.4573643410852712,0.0
tree,01,103,0,12,17,1,11,14,27,26,0.9629629629629629,13,14,1,0,0.0,0.019417475728155338
tree,02,104,0,8,18,0,14,15,31,22,0.7096774193548387,12,15,1,0,0.0,0.019230769230769232
tree,03,106,0,7,19,0,12,17,30,23,0.7666666666666667,13,19,1,0,0.0,0.018867924528301886
tree,04,120,0,10,23,1,13,18,35,28,0.8,14,14,1,0,0.0,0.016666666666666666
tree,05,102,0,6,21,1,11,15,31,21,0.6774193548387096,12,18,1,0,0.0,0.00980392156862745
tree,06,97,0,5,23,0,9,14,31,18,0.5806451612903226,16,22,1,0,0.0,0.020618556701030927
tree,07,105,0,8,22,2,10,15,31,24,0.7741935483870968,15,17,1,0,0.0,0.009523809523809525
tree,08,91,0,10,23,0,7,12,29,21,0.7241379310344828,18,18,1,0,0.0,0.02197802197802198
tree,09,91,0,7,16,0,12,14,27,20,0.7407407407407407,16,16,1,0,0.0,0.02197802197802198
tree,10,103,0,8,20,1,12,15,31,23,0.7419354838709677,18,13,1,0,0.0,0.019417475728155338
tree,11,92,0,6,13,1,15,13,27,19,0.7037037037037037,14,14,1,0,0.0,0.021739130434782608
tree,12,101,0,7,21,1,11,15,31,22,0.7096774193548387,13,18,1,0,0.0,0.0
tree,13,106,0,9,17,0,14,15,30,23,0.7666666666666667,18,14,1,0,0.0,0.018867924528301886
tree,14,102,0,8,18,1,13,15,30,23,0.7666666666666667,10,17,1,0,0.0,0.00980392156862745
wineglass,01,76,12,2,13,3,5,12,29,16,0.5517241379310345,12,12,1,0,0.0,0.02631578947368421
wineglass,02,62,9,2,13,8,3,6,24,15,0.625,16,13,1,0,0.0,0.06451612903225806
wineglass,03,78,13,4,12,11,6,6,30,20,0.6666666666666666,17,14,1,0,0.0,0.02564102564102564
wineglass,04,66,12,4,7,10,6,7,24,20,0.8333333333333334,19,12,1,0,0.0,0.06060606060606061
wineglass,05,61,12,2,6,10,6,6,23,17,0.7391304347826086,13,9,1,0,0.0,0.04918032786885246
wineglass,06,71,12,2,9,3,6,12,26,16,0.6153846153846154,11,13,1,0,0.0,0.056338028169014086
wineglass,07,64,12,3,8,6,5,9,24,17,0.7083333333333334,15,11,1,0,0.0,0.046875
wineglass,08,63,14,2,9,8,5,6,27,15,0.5555555555555556,13,10,1,0,0.0,0.031746031746031744
wineglass,09,81,11,0,10,2,6,16,26,17,0.6538461538461539,17,14,1,0,0.0,0.037037037037037035
wineglass,10,67,13,2,8,12,5,6,25,19,0.76,18,11,1,0,0.0,0.04477611940298507
wineglass,11,62,10,4,10,6,5,8,24,17,0.7083333333333334,18,11,1,0,0.0,0.06451612903225806
wineglass,12,77,11,0,7,6,7,14,24,19,0.7916666666666666,19,9,1,0,0.0,0.025974025974025976
wineglass,13,70,13,2,8,12,6,7,26,20,0.7692307692307693,16,14,1,0,0.0,0.04285714285714286
wineglass,14,77,11,1,6,8,9,13,25,21,0.84,14,10,1,0,0.0,0.025974025974025976
